airline_iata,airline_name,source_iata,source_city,destination_iata,destination_city,route,stops,aircraft_type,aircraft_capacity,price_usd
LH,Lufthansa,FRA,Frankfurt,JFK,New York,FRA-JFK,0,B787-9,290,867.85
AI,Air India,LHR,London,DXB,Dubai,LHR-DXB,0,B787-9,290,704.33
AI,Air India,EWR,Newark,YUL,Montreal,EWR-YUL,1,A220-300,145,80.23
NH,ANA,MEL,Melbourne,SIN,Singapore,MEL-SIN,0,A350-900,315,1103.42
AC,Air Canada,YVR,Vancouver,GVA,Geneva,YVR-GVA,0,A380-800,489,607.8
EK,Emirates,DXB,Dubai,MEX,Mexico City,DXB-MEX,0,A350-900,315,786.58
KE,Korean Air,ATL,Atlanta,AMS,Amsterdam,ATL-AMS,0,B777-300ER,360,1030.78
AI,Air India,BOM,Mumbai,GIG,Rio de Janeiro,BOM-GIG,1,B777-300ER,360,1349.28
AF,Air France,JFK,New York,CDG,Paris,JFK-CDG,0,A380-800,489,1354.37
QF,Qantas,SYD,Sydney,LAX,Los Angeles,SYD-LAX,0,B777-300ER,360,654.99
DL,Delta Air Lines,DTW,Detroit,SCL,Santiago,DTW-SCL,1,A350-900,315,1551.53
AZ,ITA Airways,DXB,Dubai,MEL,Melbourne,DXB-MEL,0,A380-800,489,1037.8
SV,Saudia,LHR,London,YVR,Vancouver,LHR-YVR,0,B777-300ER,360,1442.18
BA,British Airways,LIN,Milan,CPT,Cape Town,LIN-CPT,1,B787-9,290,1282.63
AF,Air France,JFK,New York,DOH,Doha,JFK-DOH,0,A380-800,489,1425.79
DL,Delta Air Lines,ATL,Atlanta,LGW,London,ATL-LGW,0,A350-900,315,1531.2
BR,EVA Air,TPE,Taipei,BNE,Brisbane,TPE-BNE,0,A350-900,315,1081.4
EK,Emirates,CPT,Cape Town,NRT,Tokyo,CPT-NRT,1,B787-9,290,1466.26
NH,ANA,DXB,Dubai,LHR,London,DXB-LHR,0,A380-800,489,1150.62
EY,Etihad Airways,AUH,Abu Dhabi,DTW,Detroit,AUH-DTW,0,B777-300ER,360,1246.77
BA,British Airways,LHR,London,LAX,Los Angeles,LHR-LAX,0,A380-800,489,863.18
EY,Etihad Airways,JFK,New York,LHR,London,JFK-LHR,0,A350-900,315,656.54
LX,SWISS,LAX,Los Angeles,LHR,London,LAX-LHR,0,B787-9,290,1416.58
QF,Qantas,AMS,Amsterdam,JFK,New York,AMS-JFK,0,B787-9,290,1161.66
LA,LATAM Airlines,GRU,Sao Paulo,AUH,Abu Dhabi,GRU-AUH,0,B767-300ER,261,809.51
QF,Qantas,CLT,Charlotte,SYD,Sydney,CLT-SYD,1,B787-9,290,852.94
CX,Cathay Pacific,ATL,Atlanta,SCL,Santiago,ATL-SCL,1,B787-9,290,565.64
KE,Korean Air,MUC,Munich,SFO,San Francisco,MUC-SFO,1,B777-300ER,360,1043.28
EY,Etihad Airways,AUH,Abu Dhabi,JED,Jeddah,AUH-JED,1,B737-800,189,237.29
NH,ANA,HKG,Hong Kong,LAX,Los Angeles,HKG-LAX,0,A350-900,315,1236.42
AI,Air India,MXP,Milan,BOM,Mumbai,MXP-BOM,1,B787-9,290,656.09
SV,Saudia,LAX,Los Angeles,CDG,Paris,LAX-CDG,0,B777-300ER,360,1280.83
QR,Qatar Airways,LAX,Los Angeles,ICN,Seoul,LAX-ICN,0,B787-9,290,683.06
BA,British Airways,LHR,London,RUH,Riyadh,LHR-RUH,1,A350-900,315,1110.87
LA,LATAM Airlines,HND,Tokyo,LAX,Los Angeles,HND-LAX,0,A380-800,489,1506.32
KL,KLM,SYD,Sydney,LAX,Los Angeles,SYD-LAX,0,A350-900,315,1406.02
AF,Air France,ORY,Paris,YYZ,Toronto,ORY-YYZ,1,B777-300ER,360,653.52
BR,EVA Air,SIN,Singapore,MEL,Melbourne,SIN-MEL,0,B777-300ER,360,1306.13
NH,ANA,NRT,Tokyo,HND,Tokyo,NRT-HND,0,A320,180,95.62
SQ,Singapore Airlines,SFO,San Francisco,SIN,Singapore,SFO-SIN,1,B787-9,290,823.86
SQ,Singapore Airlines,SIN,Singapore,IAH,Houston,SIN-IAH,0,A350-900,315,1658.86
AF,Air France,ORY,Paris,LTN,London,ORY-LTN,0,A220-300,145,133.46
