airline_iata,airline_name,source_iata,source_city,destination_iata,destination_city,route,stops,aircraft_type,aircraft_capacity,price_usd
AZ,ITA Airways,LIN,Milan,GVA,Geneva,LIN-GVA,0,A320,180,79.16
AV,Avianca,EWR,Newark,BOG,Bogota,EWR-BOG,1,B757-200,200,287.3
FR,Ryanair,STN,London,LGW,London,STN-LGW,0,A320,180,173.73
NH,ANA,NRT,Tokyo,KUL,Kuala Lumpur,NRT-KUL,0,A320,180,154.65
TK,Turkish Airlines,MXP,Milan,IST,Istanbul,MXP-IST,1,A319,138,223.9
NH,ANA,DXB,Dubai,LHR,London,DXB-LHR,0,B767-300ER,261,445.44
CX,Cathay Pacific,MEX,Mexico City,YUL,Montreal,MEX-YUL,1,A319,138,270.45
LH,Lufthansa,SIN,Singapore,ATL,Atlanta,SIN-ATL,1,B777-300ER,360,813.17
AI,Air India,HND,Tokyo,LAX,Los Angeles,HND-LAX,0,B787-10,330,982.03
FR,Ryanair,CAI,Cairo,BGY,Milan,CAI-BGY,1,A330-300,277,516.09
AZ,ITA Airways,FCO,Rome,SLC,Salt Lake City,FCO-SLC,0,B787-10,330,1651.27
AV,Avianca,BOG,Bogota,IAH,Houston,BOG-IAH,0,A330-200,246,752.17
CX,Cathay Pacific,HKG,Hong Kong,TPE,Taipei,HKG-TPE,0,B737 MAX 8,178,273.75
TK,Turkish Airlines,IST,Istanbul,CAI,Cairo,IST-CAI,0,A321LR,206,712.91
AV,Avianca,BOG,Bogota,BOM,Mumbai,BOG-BOM,0,B787-10,330,1631.87
AA,American Airlines,JFK,New York,JNB,Johannesburg,JFK-JNB,0,A380-800,489,970.77
LA,LATAM Airlines,LIM,Lima,DEL,Delhi,LIM-DEL,0,B777-200ER,317,738.93
FR,Ryanair,DUB,Dublin,AKL,Auckland,DUB-AKL,0,B777-300ER,360,1211.87
NH,ANA,LAX,Los Angeles,MEL,Melbourne,LAX-MEL,0,B787-10,330,1372.77
AI,Air India,GRU,Sao Paulo,DUB,Dublin,GRU-DUB,1,A350-1000,366,756.99
